county,household_income,employment_rate,economic_security,income_equality,healthcare_access,health_outcomes,provider_access,graduation_rate,higher_education,educational_retention,housing_affordability,community_safety,social_cohesion,child_welfare
Jefferson,73051,94.9432098765,72.9,0.23080575222866326,88.043835616,77.057856992,4.547521600727603,91.4,55.537340619,97.2,83.55176933199999,4.480447488054997,8.2671957672,78.5
Josephine,59097,95.0203990387,75.1,0.21708319150589245,90.7990276299,78.10051568200001,8.35421888053467,76.3,56.844689994,96.0,77.04618840399999,4.4736104041601905,7.8953691943,76.6
Klamath,59353,93.8342835683,75.9,0.20376108740790091,89.012970395,79.134675124,9.31098696461825,74.8,57.685886734,96.8,81.394920869,4.5744710084950775,10.642543568,77.1
Lake,61222,94.625137817,81.5,0.20801611573404613,90.6718489728,77.95581557599999,6.345177664974619,88.9,57.99031477,98.8,83.664772727,5.834880562971832,17.76875238,77.3
Lane,69311,95.9482357632,80.0,0.21044114799297722,90.6393499343,81.59034872000001,8.59106529209622,77.8,70.169768166,96.0,78.850420168,3.0168492330834784,9.5360777217,86.3
Lincoln,61314,95.6782425173,79.8,0.22745744975835064,88.426019744,80.757042058,5.060728744939271,82.0,59.150774418,97.3,81.088270859,2.8703178067931763,10.123916741,78.5
Linn,73396,95.693119891,79.7,0.24432622138943288,92.36569458860001,80.792192914,6.12369871402327,83.0,61.996264522,96.2,82.2976332,8.842297080690772,10.916087486,83.6
Malheur,49902,95.8583725841,73.0,0.21429992344366897,88.732778611,73.989268401,2.27842333105491,86.8,48.191380195,98.6,79.483430799,4.410385408759772,9.7640358015,75.3
Marion,74624,96.0674330827,79.2,0.2399108758235034,89.675219746,79.40415250699999,6.775067750677507,79.7,56.832636542,95.8,81.339651088,4.279088018520505,10.090293714,85.8
Morrow,70217,95.8858543417,78.7,0.2682056204753357,88.844834976,75.164978374,3.5174111853675694,95.6,42.709984152,100.0,83.608640407,3.01382274812674,8.7935279634,83.4
Multnomah,86247,96.7314675882,83.3,0.1992956185857901,91.9094888782,83.379229149,14.662756598240469,77.9,78.330830521,96.0,78.161389173,2.10322021641251,11.565748633,85.7
Polk,81318,95.9357752132,79.8,0.238814259430694,92.0367198138,81.82371931899999,5.515719801434087,82.4,69.089411644,96.7,82.42361826300001,4.336075249129576,7.8607128611,87.6
Sherman,59500,96.5665236052,79.2,0.24896584769713148,93.6698717949,81.730019267,5.85480093676815,80.0,52.571428571,100.0,82.692307692,16.986473733985445,29.274004684,81.0
Tillamook,66551,96.1444566041,83.2,0.24754678144886985,90.441367149,80.77879857799999,7.468259895444361,83.1,56.612529002,97.4,81.252989,10.161092322868615,11.57277784,82.8
Umatilla,68958,95.2010658256,79.8,0.22033673501750659,89.538653982,77.413836561,4.257130693912303,85.5,53.404841567,96.5,83.651529194,4.458892206622412,10.191444347,82.9
Union,64212,95.1750712012,78.6,0.22819912318329338,91.9344583028,80.312709239,7.558578987150415,84.4,63.15433975,98.4,83.916423712,7.227939905567565,16.250330675,83.5
Wallowa,65559,94.1812865497,87.8,0.19165781089024028,91.2426515305,82.626702478,15.527950310559007,80.5,61.442441054,98.7,83.68,1000.0,11.297839288,81.2
Wasco,63602,95.875748503,77.8,0.25476542976954514,89.647812166,79.440429096,9.433962264150944,79.5,56.455893833,96.1,82.733103108,6.262003627709202,11.318619128,81.8
Washington,104434,96.9237491,88.8,0.23786790385434875,92.5912983713,85.3396251,9.099181073703367,87.9,75.970841617,97.9,82.52890309200001,5.897698139415394,7.1775738462,91.0
Wheeler,51250,95.7063711911,85.7,0.2737796728895318,90.3225806452,78.71008108699999,7.320644216691069,61.9,61.290322581,87.4,82.222222222,5.410566518192972,0.0,68.3
Yamhill,87084,96.6119002899,83.1,0.23386569429779375,90.8396946565,81.572314891,6.447453255963894,87.4,63.84853987,97.3,83.240611961,7.752134521538228,9.0652511168,87.8
